math_score,sex,education,BSBM16A,BSBM16B,BSBM16C,BSBM16D,BSBM16E,BSBM16F,BSBM16G,BSBM16H,BSBM16I,BSBM17A,BSBM17B,BSBM17C,BSBM17D,BSBM17E,BSBM17F,BSBM17G,BSBM19A,BSBM19B,BSBM19C,BSBM19D,BSBM19E,BSBM19F,BSBM19G,BSBM19H,BSBM19I,BSBM20A,BSBM20B,BSBM20C,BSBM20D,BSBM20E,BSBM20F,BSBM20G,BSBM20H,BSBM20I,interest,teaching,success,importance
401.50701,0,Don't Know,4.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7777777777777777,3.5714285714285716,2.4444444444444446,3.0
381.30259,0,Secondary or lower,4.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.7777777777777777,4.0,3.6666666666666665,3.888888888888889
389.10079,0,Secondary or lower,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,4.0,3.7777777777777777,4.0
461.19079,0,Secondary or lower,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.111111111111111,2.7142857142857144,2.6666666666666665,2.3333333333333335
295.47302,0,Don't Know,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665,3.857142857142857,1.8888888888888888,4.0
339.30987,0,Post-Secondary,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.2222222222222223,2.142857142857143,2.6666666666666665,3.4444444444444446
352.39757,0,University or Higher,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5555555555555554,3.4285714285714284,1.5555555555555556,4.0
335.26428,0,Don't Know,1.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.8888888888888888,1.5714285714285714,2.6666666666666665,2.111111111111111
273.68025,0,Don't Know,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.3333333333333335,4.0
390.78501,0,Don't Know,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,1.7777777777777777,2.7142857142857144,1.3333333333333333,2.888888888888889
513.62257,0,University or Higher,3.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.3333333333333335,3.7142857142857144,3.5555555555555554,3.6666666666666665
284.11519,0,Secondary or lower,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.111111111111111,3.857142857142857,2.111111111111111,3.888888888888889
325.5997,0,Don't Know,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.3333333333333335,3.857142857142857,2.0,3.6666666666666665
401.452,0,Secondary or lower,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5555555555555554,3.0,2.111111111111111,4.0
582.67686,0,Secondary or lower,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.888888888888889,3.857142857142857,2.4444444444444446,2.4444444444444446
560.97073,0,Secondary or lower,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.7777777777777777,3.7142857142857144,2.5555555555555554,3.7777777777777777
634.15812,0,Secondary or lower,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.4444444444444446,3.7142857142857144,2.7777777777777777,2.888888888888889
544.28497,0,Secondary or lower,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,3.2222222222222223,3.857142857142857,2.4444444444444446,2.5555555555555554
590.41202,0,Don't Know,4.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.888888888888889,3.7777777777777777
515.91266,0,Secondary or lower,4.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.4285714285714284,2.5555555555555554,4.0
599.64467,0,University or Higher,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,4.0,3.4444444444444446,4.0
582.54156,0,Secondary or lower,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,3.857142857142857,4.0,4.0
555.82987,0,Secondary or lower,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,3.857142857142857,4.0,4.0
588.96421,0,Secondary or lower,4.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.7777777777777777,3.5714285714285716,2.7777777777777777,3.6666666666666665
565.33088,0,Don't Know,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.4444444444444446,3.7142857142857144,3.0,3.3333333333333335
589.77063,0,Don't Know,4.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.4285714285714284,3.3333333333333335,4.0
378.21699,0,Don't Know,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,2.2222222222222223,3.2857142857142856,2.2222222222222223,2.888888888888889
329.61978,0,Don't Know,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.111111111111111,2.4444444444444446
300.48136,0,Secondary or lower,2.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,2.111111111111111,1.8571428571428572,1.8888888888888888,2.4444444444444446
386.01017,0,Don't Know,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.2222222222222223,3.2857142857142856,2.4444444444444446,3.5555555555555554
287.17362,0,Don't Know,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.3333333333333335,4.0
314.65621,0,Secondary or lower,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.4444444444444446,3.7142857142857144,2.5555555555555554,3.3333333333333335
389.71679,0,Secondary or lower,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,1.7142857142857142,2.111111111111111,2.7777777777777777
287.93739,0,Don't Know,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.4444444444444446,1.5714285714285714,2.3333333333333335,4.0
375.91186,0,University or Higher,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.3333333333333335,4.0
364.28745,0,Secondary or lower,2.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.4444444444444446,1.2857142857142858,1.4444444444444444,3.2222222222222223
577.18646,0,Post-Secondary,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.2222222222222223,3.4285714285714284,3.7777777777777777,2.5555555555555554
335.32386,0,Post-Secondary,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.6666666666666667,3.0,1.3333333333333333,2.7777777777777777
442.53987,0,University or Higher,4.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.888888888888889,3.2857142857142856,2.6666666666666665,3.111111111111111
419.15998,0,Post-Secondary,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.5555555555555554,3.2857142857142856,2.4444444444444446,3.4444444444444446
381.41951,0,Don't Know,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.4444444444444446,3.2857142857142856,2.4444444444444446,3.5555555555555554
327.372,0,Secondary or lower,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.3333333333333335,4.0,3.2222222222222223,3.111111111111111
303.91205,0,Don't Know,1.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8888888888888888,1.4285714285714286,3.0,1.0
500.04257,0,Don't Know,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.4444444444444446,4.0,2.6666666666666665,3.2222222222222223
471.18766,0,University or Higher,4.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.2222222222222223,4.0,3.6666666666666665,3.888888888888889
315.8281,0,Secondary or lower,2.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,2.3333333333333335,2.857142857142857,1.7777777777777777,2.6666666666666665
386.79009,0,Don't Know,4.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,3.5714285714285716,2.3333333333333335,2.7777777777777777
248.68731,0,Don't Know,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.111111111111111,2.142857142857143,2.4444444444444446,2.4444444444444446
328.78452,0,Secondary or lower,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,3.3333333333333335,3.142857142857143,2.2222222222222223,3.0
376.33834,0,Secondary or lower,4.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.3333333333333335,3.7142857142857144,3.0,3.888888888888889
300.20465,0,University or Higher,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,3.6666666666666665,3.5714285714285716,2.3333333333333335,3.3333333333333335
431.99291,0,Don't Know,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.6666666666666667,2.857142857142857,2.3333333333333335,2.3333333333333335
413.86156,0,University or Higher,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.888888888888889,2.857142857142857,2.2222222222222223,3.4444444444444446
504.89914,0,University or Higher,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.3333333333333335,4.0
508.00534,0,Don't Know,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.6666666666666667,2.0,1.6666666666666667,2.888888888888889
455.20822,0,Don't Know,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.6666666666666665,3.142857142857143,2.2222222222222223,4.0
485.37554,0,Don't Know,4.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.111111111111111,3.857142857142857,3.111111111111111,4.0
514.61339,0,Don't Know,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,2.5714285714285716,2.4444444444444446,1.0
381.31072,0,University or Higher,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.3333333333333335,4.0
452.87269,0,University or Higher,1.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.5555555555555554,2.4285714285714284,2.3333333333333335,2.4444444444444446
513.42269,0,Secondary or lower,1.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.2222222222222223,2.2857142857142856,2.3333333333333335,3.111111111111111
